,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label,SegmentID,Subject
274,72.0,3872.0,1321.0,1976.0,-295.0,-646.0,1.updown,5,CW
275,115.0,4224.0,1450.0,1550.0,-521.0,-698.0,1.updown,5,CW
276,85.0,4635.0,1505.0,1055.0,-651.0,-652.0,1.updown,5,CW
277,62.0,4998.0,1519.0,223.0,-762.0,-687.0,1.updown,5,CW
278,222.0,4960.0,1455.0,-825.0,-739.0,-421.0,1.updown,5,CW
279,460.0,4770.0,1343.0,-1906.0,-612.0,4.0,1.updown,5,CW
280,711.0,4405.0,1119.0,-2990.0,-495.0,421.0,1.updown,5,CW
281,808.0,3769.0,731.0,-4029.0,-280.0,1036.0,1.updown,5,CW
282,872.0,3291.0,446.0,-4841.0,22.0,1901.0,1.updown,5,CW
283,899.0,3025.0,363.0,-5600.0,355.0,2829.0,1.updown,5,CW
284,751.0,2974.0,313.0,-6358.0,795.0,3432.0,1.updown,5,CW
285,346.0,2963.0,147.0,-7156.0,1221.0,3614.0,1.updown,5,CW
286,-174.0,2720.0,-162.0,-7973.0,1441.0,3369.0,1.updown,5,CW
287,-891.0,1966.0,-646.0,-8836.0,1541.0,2898.0,1.updown,5,CW
288,-1656.0,511.0,-1450.0,-9711.0,1576.0,2648.0,1.updown,5,CW
289,-2319.0,-1725.0,-2637.0,-10417.0,1450.0,2645.0,1.updown,5,CW
290,-2496.0,-4586.0,-3756.0,-10494.0,1342.0,2931.0,1.updown,5,CW
291,-2199.0,-7396.0,-4461.0,-9915.0,1318.0,3706.0,1.updown,5,CW
292,-1988.0,-9723.0,-4848.0,-9157.0,1287.0,4601.0,1.updown,5,CW
293,-2211.0,-11747.0,-4924.0,-8264.0,1378.0,4789.0,1.updown,5,CW
294,-2512.0,-13361.0,-4892.0,-7050.0,1558.0,3997.0,1.updown,5,CW
295,-2552.0,-14474.0,-4562.0,-5768.0,1789.0,2923.0,1.updown,5,CW
296,-2621.0,-15062.0,-4111.0,-4564.0,1787.0,1981.0,1.updown,5,CW
297,-2809.0,-15334.0,-3748.0,-3344.0,1358.0,1268.0,1.updown,5,CW
298,-3037.0,-15341.0,-3469.0,-2187.0,595.0,1252.0,1.updown,5,CW
299,-3168.0,-15164.0,-3264.0,-1356.0,-13.0,1788.0,1.updown,5,CW
300,-2966.0,-14544.0,-3012.0,-640.0,-240.0,2000.0,1.updown,5,CW
301,-2543.0,-13479.0,-2724.0,250.0,-314.0,1778.0,1.updown,5,CW
302,-2100.0,-12261.0,-2487.0,1191.0,-210.0,1270.0,1.updown,5,CW
303,-1865.0,-11248.0,-2317.0,2034.0,44.0,327.0,1.updown,5,CW
304,-1635.0,-10365.0,-2203.0,2925.0,171.0,-766.0,1.updown,5,CW
305,-1596.0,-9335.0,-2188.0,3791.0,132.0,-1529.0,1.updown,5,CW
306,-1874.0,-8559.0,-2299.0,4417.0,-111.0,-1843.0,1.updown,5,CW
307,-1920.0,-7971.0,-2394.0,4810.0,-429.0,-1618.0,1.updown,5,CW
308,-1754.0,-7434.0,-2361.0,4872.0,-744.0,-1076.0,1.updown,5,CW
309,-1600.0,-7011.0,-2377.0,4917.0,-982.0,-828.0,1.updown,5,CW
310,-1657.0,-6583.0,-2305.0,5274.0,-1070.0,-926.0,1.updown,5,CW
311,-1819.0,-6051.0,-2299.0,5805.0,-1201.0,-1249.0,1.updown,5,CW
312,-1860.0,-5291.0,-2324.0,6350.0,-1320.0,-1624.0,1.updown,5,CW
313,-1862.0,-4415.0,-2172.0,6710.0,-1152.0,-1933.0,1.updown,5,CW
