sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
406,-3154.0,-14096.0,-4371.0,-4744.0,1013.0,2020.0
407,-2895.0,-14498.0,-4039.0,-3739.0,688.0,1989.0
408,-2571.0,-14502.0,-3661.0,-2865.0,297.0,1878.0
409,-2274.0,-14322.0,-3321.0,-1992.0,-105.0,1474.0
410,-1969.0,-13662.0,-3108.0,-900.0,-446.0,748.0
411,-1621.0,-12740.0,-2965.0,270.0,-594.0,-231.0
412,-1220.0,-11788.0,-2741.0,1373.0,-483.0,-1152.0
413,-887.0,-10728.0,-2531.0,2353.0,-310.0,-1838.0
414,-909.0,-9654.0,-2456.0,3179.0,-271.0,-2294.0
415,-1085.0,-9028.0,-2647.0,3791.0,-352.0,-2645.0
416,-1123.0,-8688.0,-2862.0,4393.0,-438.0,-2722.0
417,-1024.0,-8204.0,-2924.0,4975.0,-475.0,-2523.0
418,-990.0,-7635.0,-2900.0,5437.0,-292.0,-2478.0
419,-1103.0,-7018.0,-2849.0,5874.0,28.0,-2760.0
420,-1320.0,-6314.0,-2748.0,6338.0,216.0,-2971.0
421,-1551.0,-5573.0,-2562.0,6726.0,167.0,-2821.0
422,-1650.0,-4753.0,-2305.0,7023.0,-51.0,-2514.0
423,-1565.0,-3901.0,-2036.0,7187.0,-250.0,-2339.0
424,-1517.0,-3241.0,-1930.0,7196.0,-291.0,-2524.0
425,-1490.0,-2754.0,-1844.0,7183.0,-237.0,-2804.0
426,-1379.0,-2134.0,-1633.0,7182.0,-189.0,-2786.0
427,-1255.0,-1386.0,-1390.0,7080.0,-95.0,-2571.0
428,-1211.0,-697.0,-1138.0,6876.0,62.0,-2361.0
429,-1162.0,-80.0,-774.0,6667.0,157.0,-2140.0
430,-1020.0,538.0,-416.0,6388.0,155.0,-1931.0
431,-835.0,1106.0,-78.0,5931.0,45.0,-1762.0
432,-729.0,1514.0,136.0,5365.0,-129.0,-1591.0
433,-697.0,1846.0,330.0,4854.0,-233.0,-1438.0
434,-661.0,2236.0,492.0,4406.0,-270.0,-1328.0
435,-555.0,2625.0,669.0,3896.0,-344.0,-1088.0
436,-205.0,2987.0,871.0,3305.0,-353.0,-723.0
437,108.0,3349.0,1028.0,2584.0,-243.0,-513.0
438,72.0,3872.0,1321.0,1976.0,-295.0,-646.0
439,115.0,4224.0,1450.0,1550.0,-521.0,-698.0
440,85.0,4635.0,1505.0,1055.0,-651.0,-652.0
441,62.0,4998.0,1519.0,223.0,-762.0,-687.0
442,222.0,4960.0,1455.0,-825.0,-739.0,-421.0
443,460.0,4770.0,1343.0,-1906.0,-612.0,4.0
444,711.0,4405.0,1119.0,-2990.0,-495.0,421.0
445,808.0,3769.0,731.0,-4029.0,-280.0,1036.0
446,872.0,3291.0,446.0,-4841.0,22.0,1901.0
447,899.0,3025.0,363.0,-5600.0,355.0,2829.0
448,751.0,2974.0,313.0,-6358.0,795.0,3432.0
449,346.0,2963.0,147.0,-7156.0,1221.0,3614.0
450,-174.0,2720.0,-162.0,-7973.0,1441.0,3369.0
451,-891.0,1966.0,-646.0,-8836.0,1541.0,2898.0
452,-1656.0,511.0,-1450.0,-9711.0,1576.0,2648.0
453,-2319.0,-1725.0,-2637.0,-10417.0,1450.0,2645.0
454,-2496.0,-4586.0,-3756.0,-10494.0,1342.0,2931.0
455,-2199.0,-7396.0,-4461.0,-9915.0,1318.0,3706.0
456,-1988.0,-9723.0,-4848.0,-9157.0,1287.0,4601.0
457,-2211.0,-11747.0,-4924.0,-8264.0,1378.0,4789.0
458,-2512.0,-13361.0,-4892.0,-7050.0,1558.0,3997.0
459,-2552.0,-14474.0,-4562.0,-5768.0,1789.0,2923.0
460,-2621.0,-15062.0,-4111.0,-4564.0,1787.0,1981.0
461,-2809.0,-15334.0,-3748.0,-3344.0,1358.0,1268.0
462,-3037.0,-15341.0,-3469.0,-2187.0,595.0,1252.0
463,-3168.0,-15164.0,-3264.0,-1356.0,-13.0,1788.0
464,-2966.0,-14544.0,-3012.0,-640.0,-240.0,2000.0
465,-2543.0,-13479.0,-2724.0,250.0,-314.0,1778.0
466,-2100.0,-12261.0,-2487.0,1191.0,-210.0,1270.0
467,-1865.0,-11248.0,-2317.0,2034.0,44.0,327.0
468,-1635.0,-10365.0,-2203.0,2925.0,171.0,-766.0
469,-1596.0,-9335.0,-2188.0,3791.0,132.0,-1529.0
470,-1874.0,-8559.0,-2299.0,4417.0,-111.0,-1843.0
471,-1920.0,-7971.0,-2394.0,4810.0,-429.0,-1618.0
472,-1754.0,-7434.0,-2361.0,4872.0,-744.0,-1076.0
473,-1600.0,-7011.0,-2377.0,4917.0,-982.0,-828.0
474,-1657.0,-6583.0,-2305.0,5274.0,-1070.0,-926.0
475,-1819.0,-6051.0,-2299.0,5805.0,-1201.0,-1249.0
476,-1860.0,-5291.0,-2324.0,6350.0,-1320.0,-1624.0
477,-1862.0,-4415.0,-2172.0,6710.0,-1152.0,-1933.0
478,-1808.0,-3630.0,-1946.0,6822.0,-982.0,-2132.0
479,-1554.0,-2971.0,-1716.0,6783.0,-1058.0,-2103.0
480,-1209.0,-2432.0,-1414.0,6696.0,-1217.0,-2124.0
481,-841.0,-1915.0,-1243.0,6639.0,-1433.0,-2192.0
482,-612.0,-1366.0,-1083.0,6554.0,-1669.0,-1982.0
483,-539.0,-597.0,-899.0,6372.0,-1742.0,-1752.0
484,-498.0,122.0,-642.0,6137.0,-1583.0,-1615.0
485,-375.0,646.0,-404.0,5744.0,-1361.0,-1352.0
486,-232.0,1103.0,-159.0,5250.0,-1183.0,-997.0
487,-163.0,1514.0,135.0,4825.0,-1005.0,-807.0
488,-136.0,1865.0,434.0,4507.0,-863.0,-653.0
489,-15.0,2279.0,728.0,4086.0,-843.0,-366.0
490,233.0,2722.0,966.0,3473.0,-657.0,-451.0
491,515.0,2979.0,1209.0,2837.0,-196.0,-852.0
492,649.0,3042.0,1358.0,2180.0,157.0,-1088.0
493,753.0,3081.0,1423.0,1452.0,275.0,-1069.0
494,825.0,3181.0,1416.0,719.0,222.0,-657.0
495,991.0,3366.0,1379.0,33.0,71.0,99.0
496,1232.0,3617.0,1505.0,-747.0,47.0,777.0
497,1331.0,3795.0,1617.0,-1612.0,276.0,1063.0
498,1342.0,3827.0,1615.0,-2397.0,574.0,1090.0
499,1305.0,3733.0,1515.0,-3139.0,924.0,1080.0
500,1217.0,3605.0,1308.0,-3910.0,1259.0,1160.0
501,957.0,3408.0,1035.0,-4644.0,1429.0,1390.0
502,711.0,3304.0,914.0,-5373.0,1549.0,1672.0
503,514.0,3323.0,834.0,-6189.0,1778.0,1869.0
504,216.0,3270.0,622.0,-7018.0,1969.0,2000.0
505,-195.0,2906.0,316.0,-7786.0,2089.0,2202.0
506,-550.0,2414.0,-101.0,-8478.0,2216.0,2570.0
507,-1023.0,1791.0,-657.0,-9308.0,2116.0,2997.0
508,-1792.0,728.0,-1472.0,-10205.0,1837.0,3269.0
509,-2867.0,-1041.0,-2575.0,-10861.0,1612.0,3255.0
510,-3785.0,-3452.0,-3805.0,-10982.0,1232.0,3064.0
511,-4069.0,-5848.0,-4805.0,-10842.0,899.0,3043.0
512,-4145.0,-8130.0,-5290.0,-10546.0,973.0,3109.0
513,-4143.0,-10478.0,-5835.0,-9594.0,1078.0,2574.0
514,-4160.0,-13011.0,-6575.0,-8088.0,1333.0,1324.0
515,-4479.0,-15024.0,-7278.0,-6662.0,1876.0,373.0
516,-4978.0,-16464.0,-7385.0,-5767.0,2374.0,677.0
517,-5266.0,-17253.0,-6933.0,-4834.0,2277.0,1745.0
518,-4876.0,-17096.0,-6312.0,-3355.0,1613.0,2358.0
519,-4238.0,-16319.0,-5628.0,-1666.0,995.0,2099.0
520,-3742.0,-15311.0,-4895.0,-50.0,634.0,1229.0
521,-3203.0,-13860.0,-4281.0,1618.0,307.0,146.0
522,-2640.0,-12175.0,-3782.0,3139.0,-64.0,-781.0
523,-2366.0,-10695.0,-3497.0,4380.0,-460.0,-1594.0
524,-2333.0,-9375.0,-3426.0,5280.0,-678.0,-2338.0
525,-2488.0,-8452.0,-3451.0,5804.0,-916.0,-2776.0
526,-2447.0,-7698.0,-3444.0,6220.0,-1434.0,-2612.0
527,-1972.0,-6554.0,-3131.0,6539.0,-1713.0,-2357.0
528,-1560.0,-5540.0,-2722.0,6670.0,-1445.0,-2626.0
529,-1418.0,-4967.0,-2435.0,6894.0,-1127.0,-3068.0
530,-1204.0,-4427.0,-2241.0,7259.0,-1009.0,-3332.0
531,-933.0,-3754.0,-2053.0,7492.0,-883.0,-3513.0
532,-832.0,-3088.0,-1847.0,7596.0,-690.0,-3612.0
533,-862.0,-2439.0,-1597.0,7746.0,-591.0,-3464.0
534,-826.0,-1713.0,-1342.0,7863.0,-665.0,-3186.0
535,-710.0,-981.0,-1057.0,7788.0,-830.0,-2854.0
536,-746.0,-313.0,-777.0,7474.0,-1174.0,-2329.0
537,-750.0,285.0,-599.0,6969.0,-1691.0,-1724.0
538,-579.0,785.0,-408.0,6425.0,-1909.0,-1227.0
539,-461.0,1290.0,-186.0,6077.0,-1745.0,-1104.0
540,-349.0,1793.0,66.0,5806.0,-1370.0,-1628.0
541,-209.0,2167.0,296.0,5500.0,-1050.0,-2350.0
542,-124.0,2549.0,410.0,5190.0,-951.0,-2748.0
543,-10.0,2949.0,482.0,4705.0,-951.0,-2847.0
544,104.0,3162.0,534.0,3945.0,-864.0,-2633.0
545,191.0,3219.0,502.0,3061.0,-597.0,-2178.0
546,286.0,3262.0,577.0,2175.0,-158.0,-1700.0
547,296.0,3298.0,675.0,1307.0,173.0,-1410.0
548,264.0,3225.0,689.0,567.0,176.0,-1216.0
549,308.0,3251.0,689.0,-31.0,118.0,-823.0
550,304.0,3324.0,697.0,-703.0,184.0,-254.0
551,271.0,3271.0,700.0,-1481.0,303.0,203.0
552,291.0,3180.0,666.0,-2269.0,401.0,457.0
553,263.0,3184.0,618.0,-3090.0,505.0,636.0
554,-66.0,3142.0,496.0,-4032.0,413.0,732.0
555,-496.0,2764.0,90.0,-4859.0,198.0,723.0
556,-680.0,2407.0,-217.0,-5235.0,186.0,881.0
557,-702.0,2577.0,-313.0,-5707.0,152.0,1503.0
558,-1009.0,2644.0,-435.0,-6729.0,24.0,2129.0
559,-1700.0,2420.0,-625.0,-7731.0,-182.0,2466.0
